dexNum,speciesId,preFormKey,evoFormKey,en,es-ES,es-419,fr,de,it,pr-BR,ko,ja,zh-Hans,zh-Hant,th,ca,eu,tr,ru,uk,pl,id,hi,vi,da,sv,tl
94,GENGAR,,gigantamax,Activating Max Mushrooms,Activando Maxisetas,Activating Maxihongo,Avec l’objet Maxi Champis activé,Dyna-Pilz aktivieren,Attivando Fungomax,Activating Max Mushrooms,다이버섯[[를]] 통해 폼체인지,ダイキノコを 有効に すれば,激活了极巨菇菇,活化了極巨菇菇,Activating Max Mushrooms,Activant Max Mushrooms,Activating Max Mushrooms,Activating Maksi Mantarlar,Активация Макс-Грибы,Activating Max Mushrooms,Aktywując: Max Mushrooms,Activating Jamur Max,Activating मैक्स मुशरूम,Kích hoạt Nấm Max,Activating Max Mushrooms,Vid aktivering av Maxsvampar,Activating Max Mushrooms
94,GENGAR,mega,,Deactivating Gengarite,Desactivando Gengarita,Deactivating Gengarita,Avec l’objet Ectoplasmite désactivé,Gengarnit  deaktivieren,Disattivando Gengarite,Deactivating Gengarite,팬텀나이트[[를]] 통해 비활성화,ゲンガナイトを 無効に すれば,禁用了耿鬼进化石,禁用了耿鬼進化石,Deactivating Gengarite,Desactivant Gengarite,Deactivating Gengarite,Deactivating Gengarite,Деактивация Генгарит,Deactivating Генгарит,Dezaktywując: Gengaryt,Deactivating Gengarite,Deactivating Gengarite,Vô Hiệu Hoá Gengarite,Deactivating Gengarite,Vid avaktivering av Gengarit,Deactivating Gengarite
94,GENGAR,gigantamax,,Deactivating Max Mushrooms,Desactivando Maxisetas,Deactivating Maxihongo,Avec l’objet Maxi Champis désactivé,Dyna-Pilz deaktivieren,Disattivando Fungomax,Deactivating Max Mushrooms,다이버섯[[를]] 통해 비활성화,ダイキノコを 無効に すれば,禁用了极巨菇菇,禁用了極巨菇菇,Deactivating Max Mushrooms,Desactivant Max Mushrooms,Deactivating Max Mushrooms,Deactivating Maksi Mantarlar,Деактивация Макс-Грибы,Deactivating Max Mushrooms,Dezaktywując: Max Mushrooms,Deactivating Jamur Max,Deactivating मैक्स मुशरूम,Vô Hiệu Hoá Nấm Max,Deactivating Max Mushrooms,Vid avaktivering av Maxsvampar,Deactivating Max Mushrooms
99,KINGLER,,gigantamax,Activating Max Mushrooms,Activando Maxisetas,Activating Maxihongo,Avec l’objet Maxi Champis activé,Dyna-Pilz aktivieren,Attivando Fungomax,Activating Max Mushrooms,다이버섯[[를]] 통해 폼체인지,ダイキノコを 有効に すれば,激活了极巨菇菇,活化了極巨菇菇,Activating Max Mushrooms,Activant Max Mushrooms,Activating Max Mushrooms,Activating Maksi Mantarlar,Активация Макс-Грибы,Activating Max Mushrooms,Aktywując: Max Mushrooms,Activating Jamur Max,Activating मैक्स मुशरूम,Kích hoạt Nấm Max,Activating Max Mushrooms,Vid aktivering av Maxsvampar,Activating Max Mushrooms
99,KINGLER,gigantamax,,Deactivating Max Mushrooms,Desactivando Maxisetas,Deactivating Maxihongo,Avec l’objet Maxi Champis désactivé,Dyna-Pilz deaktivieren,Disattivando Fungomax,Deactivating Max Mushrooms,다이버섯[[를]] 통해 비활성화,ダイキノコを 無効に すれば,禁用了极巨菇菇,禁用了極巨菇菇,Deactivating Max Mushrooms,Desactivant Max Mushrooms,Deactivating Max Mushrooms,Deactivating Maksi Mantarlar,Деактивация Макс-Грибы,Deactivating Max Mushrooms,Dezaktywując: Max Mushrooms,Deactivating Jamur Max,Deactivating मैक्स मुशरूम,Vô Hiệu Hoá Nấm Max,Deactivating Max Mushrooms,Vid avaktivering av Maxsvampar,Deactivating Max Mushrooms
115,KANGASKHAN,,mega,Activating Kangaskhanite,Activando Kangaskhanita,Activating Kangaskhanita,Avec l’objet Kangourexite activé,Kangamanit aktivieren,Attivando Kangaskhanite,Activating Kangaskhanite,캥카나이트[[를]] 통해 폼체인지,ガルーラナイトを 有効に すれば,激活了袋兽进化石,活化了袋獸進化石,Activating Kangaskhanite,Activant Kangaskhanite,Activating Kangaskhanite,Activating Kangaskhanite,Активация Кангасханит,Activating Кангасканіт,Aktywując: Kangaskhanit,Activating Kangaskhanite,Activating Kangaskhanite,Kích hoạt Kangaskhanite,Activating Kangaskhanite,Vid aktivering av Kangaskhanit,Activating Kangaskhanite
115,KANGASKHAN,mega,,Deactivating Kangaskhanite,Desactivando Kangaskhanita,Deactivating Kangaskhanita,Avec l’objet Kangourexite désactivé,Kangamanit deaktivieren,Disattivando Kangaskhanite,Deactivating Kangaskhanite,캥카나이트[[를]] 통해 비활성화,ガルーラナイトを 無効に すれば,禁用了袋兽进化石,禁用了袋獸進化石,Deactivating Kangaskhanite,Desactivant Kangaskhanite,Deactivating Kangaskhanite,Deactivating Kangaskhanite,Деактивация Кангасханит,Deactivating Кангасканіт,Dezaktywując: Kangaskhanit,Deactivating Kangaskhanite,Deactivating Kangaskhanite,Vô Hiệu Hoá Kangaskhanite,Deactivating Kangaskhanite,Vid avaktivering av Kangaskhanit,Deactivating Kangaskhanite
121,STARMIE,,mega,Activating Starminite,Activando Starmita,Activating Starmita,Avec l’objet Starossite activé,Starmienit aktivieren,Attivando Starmite,Activating Starminite,아쿠스타나이트[[를]] 통해 폼체인지,スターミナイトを 有効に すれば,激活了宝石海星进化石,活化了寶石海星進化石,Activating Starminite,Activant Starminite,Activating Starminite,Activating Starminite,Активация Старминит,Activating Стармініт,Aktywując: Starminit,Activating Starminite,Activating Starminite,Kích hoạt Starminite,Activating Starminite,Vid aktivering av Starminit,Activating Starminite
121,STARMIE,mega,,Deactivating Starminite,Desactivando Starmita,Deactivating Starmita,Avec l’objet Starossite désactivé,Starmienit deaktivieren,Disattivando Starmite,Deactivating Starminite,아쿠스타나이트[[를]] 통해 비활성화,スターミナイトを 無効に すれば,禁用了宝石海星进化石,禁用了寶石海星進化石,Deactivating Starminite,Desactivant Starminite,Deactivating Starminite,Deactivating Starminite,Деактивация Старминит,Deactivating Стармініт,Dezaktywując: Starminit,Deactivating Starminite,Deactivating Starminite,Vô Hiệu Hoá Starminite,Deactivating Starminite,Vid avaktivering av Starminit,Deactivating Starminite
127,PINSIR,,mega,Activating Pinsirite,Activando Pinsirita,Activating Pinsirita,Avec l’objet Scarabruite activé,Pinsirnit aktivieren,Attivando Pinsirite,Activating Pinsirite,쁘사이저나이트[[를]] 통해 폼체인지,カイロスナイトを 有効に すれば,激活了凯罗斯进化石,活化了凱羅斯進化石,Activating Pinsirite,Activant Pinsirite,Activating Pinsirite,Activating Pinsirite,Активация Пинсирит,Activating Пінсіріт,Aktywując: Pinsiryt,Activating Pinsirite,Activating Pinsirite,Kích hoạt Pinsirite,Activating Pinsirite,Vid aktivering av Pinsirit,Activating Pinsirite
127,PINSIR,mega,,Deactivating Pinsirite,Desactivando Pinsirita,Deactivating Pinsirita,Avec l’objet Scarabruite désactivé,Pinsirnit deaktivieren,Disattivando Pinsirite,Deactivating Pinsirite,쁘사이저나이트[[를]] 통해 비활성화,カイロスナイトを 無効に すれば,禁用了凯罗斯进化石,禁用了凱羅斯進化石,Deactivating Pinsirite,Desactivant Pinsirite,Deactivating Pinsirite,Deactivating Pinsirite,Деактивация Пинсирит,Deactivating Пінсіріт,Dezaktywując: Pinsiryt,Deactivating Pinsirite,Deactivating Pinsirite,Vô Hiệu Hoá Pinsirite,Deactivating Pinsirite,Vid avaktivering av Pinsirit,Deactivating Pinsirite
130,GYARADOS,,mega,Activating Gyaradosite,Activando Gyaradosita,Activating Gyaradosita,Avec l’objet Léviatorite activé,Garadosnit aktivieren,Attivando Gyaradosite,Activating Gyaradosite,갸라도스나이트[[를]] 통해 폼체인지,ギャラドスナイトを 有効に すれば,激活了暴鲤龙进化石,活化了暴鯉龍進化石,Activating Gyaradosite,Activant Gyaradosite,Activating Gyaradosite,Activating Gyaradosite,Активация Гярадосит,Activating Гіарадозит,Aktywując: Gyaradosyt,Activating Gyaradosite,Activating Gyaradosite,Kích hoạt Gyaradosite,Activating Gyaradosite,Vid aktivering av Gyaradosit,Activating Gyaradosite
130,GYARADOS,mega,,Deactivating Gyaradosite,Desactivando Gyaradosita,Deactivating Gyaradosita,Avec l’objet Léviatorite désactivé,Garadosnit deaktivieren,Disattivando Gyaradosite,Deactivating Gyaradosite,갸라도스나이트[[를]] 통해 비활성화,ギャラドスナイトを 無効に すれば,禁用了暴鲤龙进化石,禁用了暴鯉龍進化石,Deactivating Gyaradosite,Desactivant Gyaradosite,Deactivating Gyaradosite,Deactivating Gyaradosite,Деактивация Гярадосит,Deactivating Гіарадозит,Dezaktywując: Gyaradosyt,Deactivating Gyaradosite,Deactivating Gyaradosite,Vô Hiệu Hoá Gyaradosite,Deactivating Gyaradosite,Vid avaktivering av Gyaradosit,Deactivating Gyaradosite
131,LAPRAS,,gigantamax,Activating Max Mushrooms,Activando Maxisetas,Activating Maxihongo,Avec l’objet Maxi Champis activé,Dyna-Pilz aktivieren,Attivando Fungomax,Activating Max Mushrooms,다이버섯[[를]] 통해 폼체인지,ダイキノコを 有効に すれば,激活了极巨菇菇,活化了極巨菇菇,Activating Max Mushrooms,Activant Max Mushrooms,Activating Max Mushrooms,Activating Maksi Mantarlar,Активация Макс-Грибы,Activating Max Mushrooms,Aktywując: Max Mushrooms,Activating Jamur Max,Activating मैक्स मुशरूम,Kích hoạt Nấm Max,Activating Max Mushrooms,Vid aktivering av Maxsvampar,Activating Max Mushrooms
131,LAPRAS,gigantamax,,Deactivating Max Mushrooms,Desactivando Maxisetas,Deactivating Maxihongo,Avec l’objet Maxi Champis désactivé,Dyna-Pilz deaktivieren,Disattivando Fungomax,Deactivating Max Mushrooms,다이버섯[[를]] 통해 비활성화,ダイキノコを 無効に すれば,禁用了极巨菇菇,禁用了極巨菇菇,Deactivating Max Mushrooms,Desactivant Max Mushrooms,Deactivating Max Mushrooms,Deactivating Maksi Mantarlar,Деактивация Макс-Грибы,Deactivating Max Mushrooms,Dezaktywując: Max Mushrooms,Deactivating Jamur Max,Deactivating मैक्स मुशरूम,Vô Hiệu Hoá Nấm Max,Deactivating Max Mushrooms,Vid avaktivering av Maxsvampar,Deactivating Max Mushrooms
133,EEVEE,,gigantamax,Activating Max Mushrooms,Activando Maxisetas,Activating Maxihongo,Avec l’objet Maxi Champis activé,Dyna-Pilz aktivieren,Attivando Fungomax,Activating Max Mushrooms,다이버섯[[를]] 통해 폼체인지,ダイキノコを 有効に すれば,激活了极巨菇菇,活化了極巨菇菇,Activating Max Mushrooms,Activant Max Mushrooms,Activating Max Mushrooms,Activating Maksi Mantarlar,Активация Макс-Грибы,Activating Max Mushrooms,Aktywując: Max Mushrooms,Activating Jamur Max,Activating मैक्स मुशरूम,Kích hoạt Nấm Max,Activating Max Mushrooms,Vid aktivering av Maxsvampar,Activating Max Mushrooms
133,EEVEE,partner,gigantamax,Activating Max Mushrooms,Activando Maxisetas,Activating Maxihongo,Avec l’objet Maxi Champis activé,Dyna-Pilz aktivieren,Attivando Fungomax,Activating Max Mushrooms,다이버섯[[를]] 통해 폼체인지,ダイキノコを 有効に すれば,激活了极巨菇菇,活化了極巨菇菇,Activating Max Mushrooms,Activant Max Mushrooms,Activating Max Mushrooms,Activating Maksi Mantarlar,Активация Макс-Грибы,Activating Max Mushrooms,Aktywując: Max Mushrooms,Activating Jamur Max,Activating मैक्स मुशरूम,Kích hoạt Nấm Max,Activating Max Mushrooms,Vid aktivering av Maxsvampar,Activating Max Mushrooms
133,EEVEE,gigantamax,,Deactivating Max Mushrooms,Desactivando Maxisetas,Deactivating Maxihongo,Avec l’objet Maxi Champis désactivé,Dyna-Pilz deaktivieren,Disattivando Fungomax,Deactivating Max Mushrooms,다이버섯[[를]] 통해 비활성화,ダイキノコを 無効に すれば,禁用了极巨菇菇,禁用了極巨菇菇,Deactivating Max Mushrooms,Desactivant Max Mushrooms,Deactivating Max Mushrooms,Deactivating Maksi Mantarlar,Деактивация Макс-Грибы,Deactivating Max Mushrooms,Dezaktywując: Max Mushrooms,Deactivating Jamur Max,Deactivating मैक्स मुशरूम,Vô Hiệu Hoá Nấm Max,Deactivating Max Mushrooms,Vid avaktivering av Maxsvampar,Deactivating Max Mushrooms
133,EEVEE,gigantamax,partner,Deactivating Max Mushrooms,Desactivando Maxisetas,Deactivating Maxihongo,Avec l’objet Maxi Champis désactivé,Dyna-Pilz deaktivieren,Disattivando Fungomax,Deactivating Max Mushrooms,다이버섯[[를]] 통해 비활성화,ダイキノコを 無効に すれば,禁用了极巨菇菇,禁用了極巨菇菇,Deactivating Max Mushrooms,Desactivant Max Mushrooms,Deactivating Max Mushrooms,Deactivating Maksi Mantarlar,Деактивация Макс-Грибы,Deactivating Max Mushrooms,Dezaktywując: Max Mushrooms,Deactivating Jamur Max,Deactivating मैक्स मुशरूम,Vô Hiệu Hoá Nấm Max,Deactivating Max Mushrooms,Vid avaktivering av Maxsvampar,Deactivating Max Mushrooms
142,AERODACTYL,,mega,Activating Aerodactylite,Activando Aerodactylita,Activating Aerodactylita,Avec l’objet Ptéraïte activé,Aerodactylonit aktivieren,Attivando Aerodactylite,Activating Aerodactylite,프테라나이트[[를]] 통해 폼체인지,プテラナイトを 有効に すれば,激活了化石翼龙进化石,活化了化石翼龍進化石,Activating Aerodactylite,Activant Aerodactylite,Activating Aerodactylite,Activating Aerodactylite,Активация Аэродактилит,Activating Аеродактиліт,Aktywując: Aerodactylit,Activating Aerodactylite,Activating Aerodactylite,Kích hoạt Aerodactylite,Activating Aerodactylite,Vid aktivering av Aerodactylit,Activating Aerodactylite
142,AERODACTYL,mega,,Deactivating Aerodactylite,Desactivando Aerodactylita,Deactivating Aerodactylita,Avec l’objet Ptéraïte désactivé,Aerodactylonit deaktivieren,Disattivando Aerodactylite,Deactivating Aerodactylite,프테라나이트[[를]] 통해 비활성화,プテラナイトを 無効に すれば,禁用了化石翼龙进化石,禁用了化石翼龍進化石,Deactivating Aerodactylite,Desactivant Aerodactylite,Deactivating Aerodactylite,Deactivating Aerodactylite,Деактивация Аэродактилит,Deactivating Аеродактиліт,Dezaktywując: Aerodactylit,Deactivating Aerodactylite,Deactivating Aerodactylite,Vô Hiệu Hoá Aerodactylite,Deactivating Aerodactylite,Vid avaktivering av Aerodactylit,Deactivating Aerodactylite
143,SNORLAX,,gigantamax,Activating Max Mushrooms,Activando Maxisetas,Activating Maxihongo,Avec l’objet Maxi Champis activé,Dyna-Pilz aktivieren,Attivando Fungomax,Activating Max Mushrooms,다이버섯[[를]] 통해 폼체인지,ダイキノコを 有効に すれば,激活了极巨菇菇,活化了極巨菇菇,Activating Max Mushrooms,Activant Max Mushrooms,Activating Max Mushrooms,Activating Maksi Mantarlar,Активация Макс-Грибы,Activating Max Mushrooms,Aktywując: Max Mushrooms,Activating Jamur Max,Activating मैक्स मुशरूम,Kích hoạt Nấm Max,Activating Max Mushrooms,Vid aktivering av Maxsvampar,Activating Max Mushrooms
143,SNORLAX,gigantamax,,Deactivating Max Mushrooms,Desactivando Maxisetas,Deactivating Maxihongo,Avec l’objet Maxi Champis désactivé,Dyna-Pilz deaktivieren,Disattivando Fungomax,Deactivating Max Mushrooms,다이버섯[[를]] 통해 비활성화,ダイキノコを 無効に すれば,禁用了极巨菇菇,禁用了極巨菇菇,Deactivating Max Mushrooms,Desactivant Max Mushrooms,Deactivating Max Mushrooms,Deactivating Maksi Mantarlar,Деактивация Макс-Грибы,Deactivating Max Mushrooms,Dezaktywując: Max Mushrooms,Deactivating Jamur Max,Deactivating मैक्स मुशरूम,Vô Hiệu Hoá Nấm Max,Deactivating Max Mushrooms,Vid avaktivering av Maxsvampar,Deactivating Max Mushrooms
149,DRAGONITE,,mega,Activating Dragoninite,Activando Dragonitita,Activating Dragonitita,Avec l’objet Dracolossite activé,Dragoranit aktivieren,Attivando Dragonitite,Activating Dragoninite,망나뇽나이트[[를]] 통해 폼체인지,カイリュナイトを 有効に すれば,激活了快龙进化石,活化了快龍進化石,Activating Dragoninite,Activant Dragoninite,Activating Dragoninite,Activating Dragoninite,Активация Драгонайнит,Activating Драгонініт,Aktywując: Dragonityt,Activating Dragoninite,Activating Dragoninite,Kích hoạt Dragoninite,Activating Dragoninite,Vid aktivering av Dragoninit,Activating Dragoninite
